gear-multimelta | Multi-Melta | type=upgrade
r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-terminator-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-6-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-7-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r40-da-steel-transport-destroyer-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-destroyer-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-destroyer-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r37-spear-techmarine-I-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-techmarine-I-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-techmarine-I-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-16-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-17-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r37-spear-techmarine-II-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-techmarine-II-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-techmarine-II-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r37-spear-techmarine-III-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-techmarine-III-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-techmarine-III-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
dreadnought-p-mm | Multi-Melta | type=upgrade
dreadnought-p-tlac | Twin-linked Autocannon | type=upgrade
dreadnought-p-tllc | Twin-linked Lascannon | type=upgrade
dreadnought-s-mm | Multi-Melta | type=upgrade
dreadnought-s-tlac | Twin-linked Autocannon | type=upgrade
dreadnought-s-tllc | Twin-linked Lascannon | type=upgrade
contemptor-p-mm | Multi-Melta | type=upgrade
contemptor-p-tlac | Twin-linked Autocannon | type=upgrade
contemptor-p-tllc | Twin-linked Lascannon | type=upgrade
contemptor-s-mm | Multi-Melta | type=upgrade
contemptor-s-tlac | Twin-linked Autocannon | type=upgrade
contemptor-s-tllc | Twin-linked Lascannon | type=upgrade
r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-8-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-9-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r40-da-steel-transport-fa-seeker-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-fa-seeker-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-fa-seeker-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-hs-hss-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-10-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-11-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
r40-da-steel-transport-hs-heavy-support-squad-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-hs-heavy-support-squad-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-hs-heavy-support-squad-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
hs-land-raider | Legion Land Raider Battle Squadron | type=unit
hs-lr-phobos | Land Raider Phobos | type=model
hs-lr-proteus | Land Raider Proteus | type=model
hs-lr-achilles | Land Raider Achilles | type=model
hs-spartan | Legion Spartan Assault Tank | type=unit
hs-achilles-alpha | Achilles-Alpha Pattern Land Raider | type=unit
hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-12-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-13-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r29-mor-hand | Two Hand Flamers | type=upgrade
hq-consul-signals-dam-p-4 | Multi-Melta | type=upgrade
r30-prae-castellax-multimelta | Multi-Melta | type=upgrade
r74-ba-priest-narthecium | Narthecium | type=upgrade
r74-ba-priest-reductor | Reductor | type=upgrade
hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r83-ih-scions-14-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (Scions of Iron) | type=upgrade
r83-ih-scions-15-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (Scions of Iron) | type=upgrade
hq-centurion-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
hq-centurion-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
hq-centurion-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
hq-dam-p-4 | Multi-Melta | type=upgrade
r37-spear-da22-dwc-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-da22-dwc-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-da22-dwc-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-da22-corswain-retinue-0-r37-spear-da22-dwc-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-da22-corswain-retinue-0-r37-spear-da22-dwc-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-da22-corswain-retinue-0-r37-spear-da22-dwc-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
live-r2-da22-redloss-retinue-0-r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
live-r2-da22-redloss-retinue-0-r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
live-r2-da22-redloss-retinue-0-r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r32-low-cerberus-pintle-multi-melta | Multi-Melta | type=upgrade
r32-low-typhon-pintle-multi-melta | Multi-Melta | type=upgrade
r32-low-falchion-pintle-multi-melta | Multi-Melta | type=upgrade
r32-low-stormblade-pintle-multi-melta | Multi-Melta | type=upgrade
r32-low-fellblade-pintle-multi-melta | Multi-Melta | type=upgrade
r32-low-stormbird-quad | Replace a Twin-linked Lascannon Turret with Quad Heavy Bolter | type=upgrade
r32-aero-lightning-twin-linked-autocannon | Twin-linked Autocannon | type=upgrade
r32-aero-stormeagle-mm | Twin-linked Multi-Melta | type=upgrade
r32-aero-stormeagle-lascannons | Two Twin-linked Lascannons | type=upgrade
r37-spear-r35-pride-veteran-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-r35-pride-veteran-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-r35-pride-veteran-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r40-da-steel-transport-r35-pride-veteran-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-r35-pride-veteran-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-r35-pride-veteran-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r40-da-steel-transport-r35-pride-terminator-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-r35-pride-terminator-terminator-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-r35-pride-terminator-terminator-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r37-spear-r35-destroyer-troops-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r37-spear-r35-destroyer-troops-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r37-spear-r35-destroyer-troops-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r40-da-steel-transport-r35-destroyer-troops-destroyer-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r40-da-steel-transport-r35-destroyer-troops-destroyer-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r40-da-steel-transport-r35-destroyer-troops-destroyer-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r35-fury-dread-dreadnought-p-mm | Multi-Melta | type=upgrade
r35-fury-dread-dreadnought-p-tlac | Twin-linked Autocannon | type=upgrade
r35-fury-dread-dreadnought-p-tllc | Twin-linked Lascannon | type=upgrade
r35-fury-dread-dreadnought-s-mm | Multi-Melta | type=upgrade
r35-fury-dread-dreadnought-s-tlac | Twin-linked Autocannon | type=upgrade
r35-fury-dread-dreadnought-s-tllc | Twin-linked Lascannon | type=upgrade
r35-fury-contemptor-contemptor-p-mm | Multi-Melta | type=upgrade
r35-fury-contemptor-contemptor-p-tlac | Twin-linked Autocannon | type=upgrade
r35-fury-contemptor-contemptor-p-tllc | Twin-linked Lascannon | type=upgrade
r35-fury-contemptor-contemptor-s-mm | Multi-Melta | type=upgrade
r35-fury-contemptor-contemptor-s-tlac | Twin-linked Autocannon | type=upgrade
r35-fury-contemptor-contemptor-s-tllc | Twin-linked Lascannon | type=upgrade
r40-da-vow-veteran-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r40-da-vow-veteran-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r40-da-vow-veteran-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r40-da-eskaton-destroyer-r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r40-da-eskaton-destroyer-r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r40-da-eskaton-destroyer-r37-spear-destroyer-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r40-da-eskaton-interemptor-r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r40-da-eskaton-interemptor-r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r40-da-eskaton-interemptor-r37-spear-da22-int-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r40-da-serpent-seeker-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r40-da-serpent-seeker-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r40-da-serpent-seeker-r37-spear-fa-seeker-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r52-ec-eid-honour-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r52-ec-eid-honour-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r52-ec-eid-honour-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r52-ec-luc-command-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r52-ec-luc-command-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r52-ec-luc-command-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r52-ec-ful-honour-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r52-ec-ful-honour-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r52-ec-ful-honour-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r52-ec-ful-termcommand-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r52-ec-ful-termcommand-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r52-ec-ful-termcommand-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r57-iw-dom-heavy-mm | Multi-Melta — replace Combi-bolter | type=upgrade
r57-iw-golg-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r57-iw-golg-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r57-iw-golg-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r57-iw-golg-retinue-dominator-cohort-r57-iw-dom-heavy-mm | Multi-Melta — replace Combi-bolter | type=upgrade
r57-iw-forrix-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r57-iw-forrix-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r57-iw-forrix-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r57-iw-kroeger-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r57-iw-kroeger-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r57-iw-kroeger-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r57-iw-pert-retinue-legion-honour-guard-squad-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r57-iw-pert-retinue-legion-honour-guard-squad-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r57-iw-pert-retinue-legion-honour-guard-squad-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r57-iw-pert-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r57-iw-pert-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r57-iw-pert-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r57-iw-pert-retinue-dominator-cohort-r57-iw-dom-heavy-mm | Multi-Melta — replace Combi-bolter | type=upgrade
r60-ws-gold-mm | Multi-Melta — replace Heavy Bolter with Hellfire Rounds | type=upgrade
r60-ws-dark-flamer | Hand flamer — replace one Bolt pistol | type=upgrade
r61-ws-dark-lr-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r61-ws-dark-lr-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r61-ws-dark-lr-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-qin-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-qin-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-qin-retinue-legion-terminator-command-squad-hq-praetor-ret-tc-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-shiban-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-shiban-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-shiban-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-hibou-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-hibou-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-hibou-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-hibou-retinue-legion-veteran-squad-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-hibou-retinue-legion-veteran-squad-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-hibou-retinue-legion-veteran-squad-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-hibou-retinue-legion-veteran-squad-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r60-ws-hibou-retinue-legion-veteran-squad-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r60-ws-hibou-retinue-legion-veteran-squad-r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r60-ws-hasik-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-hasik-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-hasik-retinue-legion-command-squad-hq-centurion-ret-command-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-hasik-retinue-legion-veteran-squad-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-hasik-retinue-legion-veteran-squad-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-hasik-retinue-legion-veteran-squad-r37-spear-veteran-transport-src-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-hasik-retinue-legion-veteran-squad-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos (10 models or fewer) | type=model
r60-ws-hasik-retinue-legion-veteran-squad-r40-da-steel-transport-veteran-unit-r37-spear-tac-transport-src-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus (10 models or fewer) | type=model
r60-ws-hasik-retinue-legion-veteran-squad-r40-da-steel-transport-veteran-unit-hs-spartan | Legion Spartan Assault Tank (11–20 models) | type=unit
r60-ws-jagh-retinue-legion-honour-guard-squad-hq-praetor-ret-honour-land-land-raider-phobos | Land Raider Phobos | type=model
r60-ws-jagh-retinue-legion-honour-guard-squad-hq-praetor-ret-honour-land-land-raider-proteus | Land Raider Proteus | type=model
r60-ws-jagh-retinue-legion-honour-guard-squad-hq-praetor-ret-honour-land-land-raider-achilles | Land Raider Achilles | type=model
r60-ws-jagh-retinue-golden-keshig-squadron-r60-ws-gold-mm | Multi-Melta — replace Heavy Bolter with Hellfire Rounds | type=upgrade
r63-sw-slayer-transport-lr-hs-land-raider | Legion Land Raider | type=unit
r63-sw-slayer-transport-lr-hs-lr-phobos | Land Raider Phobos | type=model
r63-sw-slayer-transport-lr-hs-lr-proteus | Land Raider Proteus | type=model
r63-sw-slayer-transport-lr-hs-lr-achilles | Land Raider Achilles | type=model
