R34 DIAGNOSTIC — REFERENCE RULES / SONS OF HORUS / NAMES
CAT revision=33

PLACEHOLDER RULES (805):
Daemonic Aura | The model gains a 5+ Invulnerable Save. | Daemonic Aura > Legiones Astartes | r47-wb-favour-aura-rule
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Tactical Squad > Legiones Astartes | r19-cult-r45-cult-tactical-unit-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Tactical Squad > Legiones Astartes | live-r2-fabius-enhanced-tactical-unit-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Assault Squad > Legiones Astartes | r71-nl-gen-1-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Assault Squad > Legiones Astartes | r71-nl-bj-1-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Assault Squad > Legiones Astartes | r19-cult-r45-cult-assault-unit-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Assault Squad > Legiones Astartes | live-r2-fabius-enhanced-assault-unit-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Breacher Siege Squad > Legiones Astartes | r71-nl-gen-2-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Breacher Siege Squad > Legiones Astartes | r71-nl-bj-2-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Breacher Siege Squad > Legiones Astartes | r19-cult-r45-cult-breacher-unit-4-mastery
Scout | This unit has Scout. | Legion Reconnaissance Squad > Legiones Astartes | recon-scout
Infiltrate | This unit has Infiltrate. | Legion Reconnaissance Squad > Legiones Astartes | recon-infiltrate
Move Through Cover | This unit has Move Through Cover. | Legion Reconnaissance Squad > Legiones Astartes | recon-mtc
Acute Senses | This unit has Acute Senses. | Legion Reconnaissance Squad > Legiones Astartes | recon-acute-senses
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Reconnaissance Squad > Legiones Astartes | r71-nl-gen-3-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Reconnaissance Squad > Legiones Astartes | r71-nl-bj-3-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Reconnaissance Squad > Legiones Astartes | r19-cult-r45-cult-recon-unit-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Reconnaissance Squad > Legiones Astartes | live-r2-fabius-enhanced-recon-unit-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Veteran Squad > Legiones Astartes | r71-nl-gen-4-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Veteran Squad > Legiones Astartes | r71-nl-bj-4-rule
Resolve | The squad gains the Stubborn special rule. | Resolve > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | veteran-tactic-resolve-rule
Assault Veterans | The squad gains the Furious Charge special rule. | Assault Veterans > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | veteran-tactic-assault-rule
Counter-Assault | The squad gains the Counter-Attack special rule. | Counter-Assault > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | veteran-tactic-counter-rule
Machine Killers | The squad gains the Tank Hunters special rule. | Machine Killers > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | veteran-tactic-machine-rule
Recon Veterans | The squad gains the Infiltrate special rule. | Recon Veterans > Veteran Tactic (choose one) > Legion Veteran Squad > Legiones Astartes | veteran-tactic-recon-rule
Jump Packs | The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. | Jump Packs (+15 pts/model) > Individual Wargear > Legion Veteran Squad > Legiones Astartes | veteran-jump-rule
Jump Packs | The entire squad becomes Jump Infantry. The squad may not select a Dedicated Transport. This option is only available if the squad has not selected a Heavy weapon. | Jump Packs (Legion Assault Company — +10 pts/model) > Individual Wargear > Legion Veteran Squad > Legiones Astartes | r35-assault-jp-veteran-jump-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Veteran Squad > Legiones Astartes | r19-cult-r45-cult-veteran-unit-4-mastery
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Veteran Squad > Legiones Astartes | live-r2-fabius-enhanced-veteran-unit-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Terminator Squad > Legiones Astartes | r71-nl-bj-5-rule
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-0-mastery
Cult Mastery — Kine Shields | If this unit has the Psyker or Brotherhood of Psykers special rule, models instead gain a 5+ Invulnerable Save against shooting; an existing Invulnerable Save improves by 1 against shooting to a maximum of 4+, and Cover Saves against shooting improve by 1 to a maximum of 3+. These benefits do not apply in close combat. | Raptora > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-1-mastery
Cult Mastery — Precognitive Strike | If this unit has the Psyker or Brotherhood of Psykers special rule, it may also re-roll To Hit rolls of 1 when making Overwatch, Return Fire and Stand & Shoot attacks. | Corvidae > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-2-mastery
Cult Arcana — Discipline of the Mind | This unit gains Stubborn and may re-roll failed Pinning tests. | Athanaeans > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-3-arcana
Cult Mastery — Discipline of the Mind | If this unit has the Psyker or Brotherhood of Psykers special rule, it additionally gains Adamantium Will. | Athanaeans > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-3-mastery
Cult Arcana — Ashen Blow | This unit gains Hammer of Wrath. | Pyrae > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-4-arcana
Cult Mastery — Ashen Blow | If this unit has the Psyker or Brotherhood of Psykers special rule, close-combat attacks and Flame weapons used by models in the unit gain Soul Blaze. | Pyrae > Prosperine Cult > Legion Terminator Squad > Legiones Astartes | r19-cult-r45-cult-terminator-unit-4-mastery
Counter-Attack | This unit has Counter-Attack. | Legion Destroyer Squad > Legiones Astartes | destroyer-counter
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Destroyer Squad > Legiones Astartes | r71-nl-gen-5-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Destroyer Squad > Legiones Astartes | r71-nl-bj-6-rule
Enhanced Warriors | This squad has been enhanced by Fabius Bile for +3 points per model. After deployment but before the first turn, roll a D6 for this squad: 1 — Berserk Rage: make an Armour Save for every model; remove each failure, and survivors gain +1 Strength. 2–5 — Stable Mutation: every model gains +1 Strength and +1 Initiative. 6 — Created a Monster: every model gains +1 Strength, +1 Initiative and +1 Attack; in missions using Victory Points, surviving models from the squad count as casualties when calculating Victory Points. | Enhanced Warriors > Fabius Bile > Legion Destroyer Squad > Legiones Astartes | live-r2-fabius-enhanced-destroyer-unit-rule
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Techmarine Covenant > Legiones Astartes | r71-nl-gen-6-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Techmarine Covenant > Legiones Astartes | r71-nl-bj-7-rule
Fleet | This unit has Fleet. | Legion Contemptor Dreadnought > Legiones Astartes | contemptor-fleet
Stealth Adept — whole squad | Every model in the unit gains Stealth. Models in Terminator Armour, Bikes, Jetbikes, Dreadnoughts and Vehicles are not eligible. An attached Independent Character must also possess Stealth Adept or the unit may not benefit while attached. | Stealth Adept — whole squad > Legion Seeker Squad > Legiones Astartes | r71-nl-gen-7-stealth-rule
Beyond Judgement | Every model is treated as equipped with Trophies of Judgement and the unit gains Fear. Measure the 8-inch Leadership penalty from any model. Trophies penalties are non-cumulative. | Beyond Judgement — Trophies of Judgement & Fear > Legion Seeker Squad > Legiones Astartes | r71-nl-bj-8-rule
Infiltrate & Move Through Cover | The squad has Infiltrate and Move Through Cover as defined in ProHammer Classic. | Legion Seeker Squad > Legiones Astartes | fa-seeker-move
Cult Arcana — Quickblood | This unit gains Fleet. | Pavoni > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-0-arcana
Cult Mastery — Quickblood | If this unit has the Psyker or Brotherhood of Psykers special rule, it also gains Crusader. | Pavoni > Prosperine Cult > Legion Seeker Squad > Legiones Astartes | r19-cult-r45-cult-fa-seeker-0-mastery
