LIVE R15 — DEATH GUARD DAEMON MORTARION + PLAGUE MARINES
CAT=15 GSTref=1

• Daemon Mortarion Source Entry hidden and replaced with discrete wargear, restriction, unique-rule and psychic-power entries plus Lantern/Nurgle’s Rot profiles
• Hidden 2 remaining visible Death Guard Source Entry wall(s), including old retinue clones
• Sons of the Plague Father now exposes an automatically scaling +7/model Plague Marines selector only while Daemon Mortarion is in the roster
• Eligible squad entries patched: 204
•   + assault-unit | Legion Assault Squad | counted member model entries=2
•   + r46-al-reward-57 | SANCTIFIER SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-58 | MOR DEYTHAN SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-59 | DARK FURY ASSAULT SQUAD — Rewards of Treachery | counted member model entries=1
•   + r46-al-reward-61 | RAPTOR SQUAD — Rewards of Treachery | counted member model entries=1
•   + r52-ec-sonic-hss | Legion Heavy Support Squad — Sonic Weaponry | counted member model entries=1
•   + r57-iw-hammer-breacher | Legion Breacher Siege Squad — Hammer Compulsory | counted member model entries=2
•   + r64-if-stone-warders | Phalanx Warder Squad — Stone Gauntlet Troops | counted member model entries=1
•   + r64-if-hammer-warders | Phalanx Warder Squad — Hammerfall Troops | counted member model entries=1
•   + r64-if-templar-troops | Templar Brethren Squad — Templar Assault Troops | counted member model entries=3
•   + r71-nl-ta-raptor-r41-unit-viii-1-night-raptor-squad | Night Raptor Squad — Terror Assault Troops | counted member model entries=1
•   + r71-nl-ta-terror-r41-unit-viii-0-terror-squad | Terror Squad — Terror Assault Troops | counted member model entries=1
•   + r71-nl-hc-raptor-r41-unit-viii-1-night-raptor-squad | Night Raptor Squad — Horror Cult Troops | counted member model entries=1
•   + r74-ba-rev-vet-veteran-unit | Legion Veteran Squad (Jump Packs) — Day of Revelation | counted member model entries=2
